,cor_code,X1_x,X2_x,X16_x,X21_x,X33_x,X35_x,X36_x,X38_x,X57_x,X58_x,X59_x,X60_x,X61_x,month_x,X1_y,X2_y,X16_y,X21_y,X33_y,X35_y,X36_y,X38_y,X57_y,X58_y,X59_y,X60_y,X61_y,month_y,X1_x.1,X2_x.1,X16_x.1,X21_x.1,X33_x.1,X35_x.1,X36_x.1,X38_x.1,X57_x.1,X58_x.1,X59_x.1,X60_x.1,X61_x.1,month_x.1,X1_y.1,X2_y.1,X16_y.1,X21_y.1,X33_y.1,X35_y.1,X36_y.1,X38_y.1,X57_y.1,X58_y.1,X59_y.1,X60_y.1,X61_y.1,month_y.1,X1_x.2,X2_x.2,X16_x.2,X21_x.2,X33_x.2,X35_x.2,X36_x.2,X38_x.2,X57_x.2,X58_x.2,X59_x.2,X60_x.2,X61_x.2,month_x.2,X1_y.2,X2_y.2,X16_y.2,X21_y.2,X33_y.2,X35_y.2,X36_y.2,X38_y.2,X57_y.2,X58_y.2,X59_y.2,X60_y.2,X61_y.2,month_y.2,X1_x.3,X2_x.3,X16_x.3,X21_x.3,X33_x.3,X35_x.3,X36_x.3,X38_x.3,X57_x.3,X58_x.3,X59_x.3,X60_x.3,X61_x.3,month_x.3,X1_y.3,X2_y.3,X16_y.3,X21_y.3,X33_y.3,X35_y.3,X36_y.3,X38_y.3,X57_y.3,X58_y.3,X59_y.3,X60_y.3,X61_y.3,month_y.3,X1_x.4,X2_x.4,X16_x.4,X21_x.4,X33_x.4,X35_x.4,X36_x.4,X38_x.4,X57_x.4,X58_x.4,X59_x.4,X60_x.4,X61_x.4,month_x.4,X1_y.4,X2_y.4,X16_y.4,X21_y.4,X33_y.4,X35_y.4,X36_y.4,X38_y.4,X57_y.4,X58_y.4,X59_y.4,X60_y.4,X61_y.4,month_y.4,X1_x.5,X2_x.5,X16_x.5,X21_x.5,X33_x.5,X35_x.5,X36_x.5,X38_x.5,X57_x.5,X58_x.5,X59_x.5,X60_x.5,X61_x.5,month_x.5,X1_y.5,X2_y.5,X16_y.5,X21_y.5,X33_y.5,X35_y.5,X36_y.5,X38_y.5,X57_y.5,X58_y.5,X59_y.5,X60_y.5,X61_y.5,month_y.5
0,240001,24.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,24.0,5.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,24.0,5.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,,,,,,,,,,,,,,,24.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,5,2,2,1,2,2,2,0,0,0,0,0,8,24.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,9.0,24.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,24.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,11.0,24.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,20.0
1,240002,24.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,24.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,24.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,6.0,24.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,24,1,1,3,3,3,3,3,0,0,0,1,1,8,24.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,24.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,20.0
2,240003,24.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,24.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,24,4,2,1,2,0,1,2,1,1,1,1,1,8,24.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,24.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0
3,240004,24.0,4.0,1.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,4.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,4.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,6.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,6.0,1.0,4.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,24.0,6.0,1.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,24,2,1,2,2,0,3,3,0,0,1,0,0,8,24.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,24.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0
4,240005,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,24,1,1,3,3,0,3,3,1,0,0,0,0,8,24.0,1.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,12.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0
5,240006,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,24.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,24,2,1,2,2,0,2,2,1,0,0,0,0,8,24.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,9.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0
6,240007,24.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,24,2,1,3,3,3,3,3,0,0,0,0,1,8,24.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,20.0
7,240008,24.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,24.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,24.0,1.0,1.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,24.0,1.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,24,1,1,4,3,0,1,2,0,0,1,1,1,8,24.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,9.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,24.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,24.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0
8,240009,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,24.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,24.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,24,1,2,3,3,0,3,3,0,1,0,0,0,8,24.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,24.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,24.0,1.0,2.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0
9,240010,24.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,24.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,24,1,1,2,2,0,1,1,0,1,0,0,1,8,24.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,24.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,20.0
