,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연
0,240001,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
1,240002,3.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0
2,240003,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
3,240004,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
4,240005,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
5,240006,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
6,240007,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
7,240008,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
8,240009,3.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0
9,240010,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
10,240011,4.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0
11,240012,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
12,240013,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
13,240014,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
14,240015,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0
15,240016,3.0,3.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0
16,240017,4.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
17,240018,4.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
18,240019,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0
19,240020,3.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0
20,240021,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
21,240022,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0
22,240023,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
23,240024,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
24,240025,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
25,240026,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0
26,240027,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
27,240028,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
28,240029,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
29,240030,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0
30,240031,3.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0
31,240032,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
32,240033,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
33,240034,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
34,240035,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
35,240036,2.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
36,240037,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
37,240038,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
38,240039,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
39,240040,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
40,240041,3.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0
41,240042,2.0,2.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0
42,240043,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0
43,240044,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0
44,240045,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
45,240046,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
46,240047,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
47,240048,2.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0
48,240049,3.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
49,240050,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
50,240051,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0
51,240052,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0
52,240053,2.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0
53,240054,4.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
54,240055,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
55,240056,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
56,240057,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
57,240058,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
58,240059,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
59,240060,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
60,240061,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
61,240062,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
62,240063,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
63,240064,2.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
64,240065,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
65,240066,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
66,240067,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
67,240068,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
68,240069,3.0,3.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0
69,240070,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
70,240071,3.0,3.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,1.0
71,240072,4.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
72,240073,3.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
73,240074,3.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0
74,240075,3.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0
75,240076,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
76,240077,3.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
77,240078,3.0,3.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
78,240079,3.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0
79,240080,3.0,3.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
80,240081,3.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
81,240082,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
82,240083,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
83,240084,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
84,240085,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
85,240086,3.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
87,240088,4.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
88,240089,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0
89,240090,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
90,240091,2.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0
91,240092,4.0,4.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0
92,240093,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
93,240094,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
94,240095,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
95,240096,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0
96,240097,4.0,3.0,4.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0
97,240098,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0
98,240099,3.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
99,240100,3.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0
100,240101,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
101,240102,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0
102,240103,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
103,240104,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
104,240105,3.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
105,240106,3.0,3.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0
107,240108,4.0,4.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
108,240109,4.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
109,240110,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0
110,240111,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
112,240113,3.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
113,240114,3.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0
114,240115,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0
115,240116,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
117,240118,3.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0
118,240119,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
119,240120,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
178,240121,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
180,240122,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0
182,240123,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
185,240124,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
188,240125,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
195,240127,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
121,360002,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
122,360003,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
123,360004,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
124,360005,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
125,360006,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
126,360007,1.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0
127,360008,3.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0
128,360009,3.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
129,360010,4.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0
130,360011,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
131,360012,2.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
132,360013,3.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0
133,360014,3.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0
134,360015,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
135,360016,3.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
136,360017,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0
137,360018,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
138,360019,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
139,360020,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0
140,360021,3.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0
141,360022,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
142,360023,3.0,3.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0
143,360024,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
144,360025,2.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0
145,360026,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
146,360027,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
147,360028,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
148,360029,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
149,360030,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
150,360031,3.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0
151,360032,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
152,360033,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
153,360034,2.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0
154,360035,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
155,360036,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
156,360037,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
157,360038,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0
158,360039,3.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0
159,360040,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
160,360041,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
161,360042,3.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0
162,360043,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
163,360044,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
164,360045,3.0,3.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0
165,360046,4.0,4.0,4.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0
166,360047,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
167,360048,3.0,3.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,0.0
168,360049,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
169,360050,2.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0
170,360051,4.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
171,360052,3.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
172,360053,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
173,360054,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
174,360055,2.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0
175,360056,3.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
176,360057,3.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0
177,360058,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0
179,360059,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0
181,360060,3.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
184,360062,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0
186,360063,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
187,360064,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0
189,360065,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
190,360066,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
191,360067,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0
192,360068,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
193,360069,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
196,360070,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
