date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,360051,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.78
2019-03-01,360051,4.0,4.0,4.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,5.03
2019-04-01,360051,3.0,3.0,3.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,4.05
2019-05-01,360051,4.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,4.11
2019-06-01,360051,3.0,3.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.51
2019-07-01,360051,3.0,3.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.51
2019-08-01,360051,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.78
2019-09-01,360051,4.0,4.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.38
2019-10-01,360051,3.0,3.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.51
2019-11-01,360051,4.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,4.48
2019-12-01,360051,4.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,4.48
2020-01-01,360051,4.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.88
