Cor_code,Region
240001,Gwangju
240002,Gwangju
240003,Gwangju
240004,Gwangju
240005,Gwangju
240006,Gwangju
240007,Gwangju
240008,Gwangju
240009,Gwangju
240010,Gwangju
240011,Gwangju
240012,Gwangju
240013,Gwangju
240014,Gwangju
240015,Gwangju
240016,Gwangju
240017,Gwangju
240018,Gwangju
240019,Gwangju
240020,Gwangju
240021,Gwangju
240022,Gwangju
240023,Gwangju
240024,Gwangju
240025,Gwangju
240026,Gwangju
240027,Gwangju
240028,Gwangju
240029,Gwangju
240030,Gwangju
240031,Gwangju
240032,Gwangju
240033,Gwangju
240034,Gwangju
240035,Gwangju
240036,Gwangju
240037,Gwangju
240038,Gwangju
240039,Gwangju
240040,Gwangju
240041,Gwangju
240042,Gwangju
240043,Gwangju
240044,Gwangju
240045,Gwangju
240046,Gwangju
240047,Gwangju
240048,Gwangju
240049,Gwangju
240050,Gwangju
240051,Gwangju
240052,Gwangju
240053,Gwangju
240054,Gwangju
240055,Gwangju
240056,Gwangju
240057,Gwangju
240058,Gwangju
240059,Gwangju
240060,Gwangju
240061,Gwangju
240062,Gwangju
240063,Gwangju
240064,Gwangju
240065,Gwangju
240066,Gwangju
240067,Gwangju
240068,Gwangju
240069,Gwangju
240070,Gwangju
240071,Gwangju
240072,Gwangju
240073,Gwangju
240074,Gwangju
240075,Gwangju
240076,Gwangju
240077,Gwangju
240078,Gwangju
240079,Gwangju
240080,Gwangju
240081,Gwangju
240082,Gwangju
240083,Gwangju
240084,Gwangju
240085,Gwangju
240086,Gwangju
240087,Gwangju
240088,Gwangju
240089,Gwangju
240090,Gwangju
240091,Gwangju
240092,Gwangju
240093,Gwangju
240094,Gwangju
240095,Gwangju
240096,Gwangju
240097,Gwangju
240098,Gwangju
240099,Gwangju
240100,Gwangju
240101,Gwangju
240102,Gwangju
240103,Gwangju
240104,Gwangju
240105,Gwangju
240106,Gwangju
240107,Gwangju
240108,Gwangju
240109,Gwangju
240110,Gwangju
240111,Gwangju
240112,Gwangju
240113,Gwangju
240114,Gwangju
240115,Gwangju
240116,Gwangju
240117,Gwangju
240118,Gwangju
240119,Gwangju
240120,Gwangju
240121,Gwangju
240122,Gwangju
240123,Gwangju
240124,Gwangju
240125,Gwangju
240126,Gwangju
240127,Gwangju
360001,Jeonnam
360002,Jeonnam
360003,Jeonnam
360004,Jeonnam
360005,Jeonnam
360006,Jeonnam
360007,Jeonnam
360008,Jeonnam
360009,Jeonnam
360010,Jeonnam
360011,Jeonnam
360012,Jeonnam
360013,Jeonnam
360014,Jeonnam
360015,Jeonnam
360016,Jeonnam
360017,Jeonnam
360018,Jeonnam
360019,Jeonnam
360020,Jeonnam
360021,Jeonnam
360022,Jeonnam
360023,Jeonnam
360024,Jeonnam
360025,Jeonnam
360026,Jeonnam
360027,Jeonnam
360028,Jeonnam
360029,Jeonnam
360030,Jeonnam
360031,Jeonnam
360032,Jeonnam
360033,Jeonnam
360034,Jeonnam
360035,Jeonnam
360036,Jeonnam
360037,Jeonnam
360038,Jeonnam
360039,Jeonnam
360040,Jeonnam
360041,Jeonnam
360042,Jeonnam
360043,Jeonnam
360044,Jeonnam
360045,Jeonnam
360046,Jeonnam
360047,Jeonnam
360048,Jeonnam
360049,Jeonnam
360050,Jeonnam
360051,Jeonnam
360052,Jeonnam
360053,Jeonnam
360054,Jeonnam
360055,Jeonnam
360056,Jeonnam
360057,Jeonnam
360058,Jeonnam
360059,Jeonnam
360060,Jeonnam
360061,Jeonnam
360062,Jeonnam
360063,Jeonnam
360064,Jeonnam
360065,Jeonnam
360066,Jeonnam
360067,Jeonnam
360068,Jeonnam
360069,Jeonnam
360070,Jeonnam
