cor_code,date,risk
240001,2019-02-01,3.59
240001,2019-03-01,4.32
240001,2019-04-01,4.41
240001,2019-05-01,4.41
240001,2019-06-01,4.32
240001,2019-07-01,4.58
240001,2019-08-01,4.18
240001,2019-09-01,5.49
240001,2019-10-01,5.68
240001,2019-11-01,6.43
240001,2019-12-01,2.95
240001,2020-01-01,5.25
240002,2019-02-01,3.99
240002,2019-03-01,5.12
240002,2019-04-01,5.36
240002,2019-05-01,3.81
240002,2019-06-01,3.57
240002,2019-07-01,3.12
240002,2019-08-01,3.99
240002,2019-09-01,3.74
240002,2019-10-01,4.19
240002,2019-11-01,4.05
240002,2019-12-01,4.05
240002,2020-01-01,3.67
240003,2019-02-01,7.0
240003,2019-03-01,7.59
240003,2019-04-01,7.59
240003,2019-05-01,7.3
240003,2019-06-01,7.33
240003,2019-07-01,7.96
240003,2019-08-01,7.29
240003,2019-09-01,8.25
240003,2019-10-01,7.05
240003,2019-11-01,6.08
240003,2019-12-01,7.96
240003,2020-01-01,7.42
240004,2019-02-01,3.54
240004,2019-03-01,4.16
240004,2019-04-01,3.91
240004,2019-05-01,3.03
240004,2019-06-01,3.14
240004,2019-07-01,3.62
240004,2019-08-01,3.77
240004,2019-09-01,3.52
240004,2019-10-01,3.4
240004,2019-11-01,3.64
240004,2019-12-01,3.32
240004,2020-01-01,3.77
240005,2019-02-01,4.19
240005,2019-03-01,3.69
240005,2019-04-01,4.46
240005,2019-05-01,4.75
240005,2019-06-01,3.69
240005,2019-07-01,3.69
240005,2019-08-01,3.69
240005,2019-09-01,4.86
240005,2019-10-01,4.19
240005,2019-11-01,3.69
240005,2019-12-01,4.19
240005,2020-01-01,3.69
240006,2019-02-01,4.2
240006,2019-03-01,5.04
240006,2019-04-01,3.45
240006,2019-05-01,4.2
240006,2019-06-01,5.68
240006,2019-07-01,5.51
240006,2019-08-01,4.62
240006,2019-09-01,4.58
240006,2019-10-01,3.7
240006,2019-11-01,4.59
240006,2019-12-01,5.12
240006,2020-01-01,4.62
240007,2019-02-01,4.93
240007,2019-03-01,4.07
240007,2019-04-01,3.22
240007,2019-05-01,3.45
240007,2019-06-01,3.45
240007,2019-07-01,4.37
240007,2019-08-01,3.45
240007,2019-09-01,3.51
240007,2019-10-01,3.51
240007,2019-11-01,4.37
240007,2019-12-01,2.95
240007,2020-01-01,4.37
240008,2019-02-01,5.51
240008,2019-03-01,5.37
240008,2019-04-01,5.37
240008,2019-05-01,5.01
240008,2019-06-01,4.77
240008,2019-07-01,3.53
240008,2019-08-01,5.02
240008,2019-09-01,5.14
240008,2019-10-01,5.37
240008,2019-11-01,5.51
240008,2019-12-01,5.56
240008,2020-01-01,5.92
240009,2019-02-01,4.65
240009,2019-03-01,3.52
240009,2019-04-01,5.01
240009,2019-05-01,4.64
240009,2019-06-01,3.52
240009,2019-07-01,3.52
240009,2019-08-01,3.52
240009,2019-09-01,3.89
240009,2019-10-01,4.08
240009,2019-11-01,4.36
240009,2019-12-01,3.94
240009,2020-01-01,4.22
240010,2019-02-01,5.25
240010,2019-03-01,5.43
240010,2019-04-01,5.27
240010,2019-05-01,3.96
240010,2019-06-01,5.62
240010,2019-07-01,6.04
240010,2019-08-01,5.51
240010,2019-09-01,5.38
240010,2019-10-01,5.38
240010,2019-11-01,5.99
240010,2019-12-01,3.96
240010,2020-01-01,5.08
240011,2019-02-01,3.94
240011,2019-03-01,3.82
240011,2019-04-01,3.28
240011,2019-05-01,2.72
240011,2019-06-01,3.14
240011,2019-07-01,3.33
240011,2019-08-01,3.14
240011,2019-09-01,4.26
240011,2019-10-01,2.78
240011,2019-11-01,2.78
240011,2019-12-01,3.32
240011,2020-01-01,3.2
240012,2019-02-01,6.71
240012,2019-03-01,5.96
240012,2019-04-01,5.54
240012,2019-05-01,5.84
240012,2019-06-01,5.18
240012,2019-07-01,5.3
240012,2019-08-01,5.18
240012,2019-09-01,4.58
240012,2019-10-01,6.29
240012,2019-11-01,5.75
240012,2019-12-01,5.96
240012,2020-01-01,6.46
240013,2019-02-01,4.29
240013,2019-03-01,3.9
240013,2019-04-01,3.96
240013,2019-05-01,3.54
240013,2019-06-01,3.76
240013,2019-07-01,3.76
240013,2019-08-01,4.41
240013,2019-09-01,3.94
240013,2019-10-01,2.63
240013,2019-11-01,3.03
240013,2019-12-01,3.26
240013,2020-01-01,3.4
240014,2019-02-01,2.83
240014,2019-03-01,2.52
240014,2019-04-01,3.08
240014,2019-05-01,3.45
240014,2019-06-01,3.08
240014,2019-07-01,3.45
240014,2019-08-01,3.45
240014,2019-09-01,3.45
240014,2019-10-01,3.45
240014,2019-11-01,3.45
240014,2019-12-01,3.45
240014,2020-01-01,2.95
240015,2019-02-01,3.4
240015,2019-03-01,3.4
240015,2019-04-01,3.28
240015,2019-05-01,3.9
240015,2019-06-01,3.9
240015,2019-07-01,3.9
240015,2019-08-01,3.28
240015,2019-09-01,3.9
240015,2019-10-01,3.9
240015,2019-11-01,3.9
240015,2019-12-01,3.9
240015,2020-01-01,3.9
240016,2019-02-01,4.26
240016,2019-03-01,3.83
240016,2019-04-01,3.69
240016,2019-05-01,3.07
240016,2019-06-01,3.69
240016,2019-07-01,3.69
240016,2019-08-01,3.4
240016,2019-09-01,4.46
240016,2019-10-01,3.4
240016,2019-11-01,3.9
240016,2019-12-01,3.69
240016,2020-01-01,4.35
240017,2019-02-01,3.7
240017,2019-03-01,4.43
240017,2019-04-01,4.76
240017,2019-05-01,3.31
240017,2019-06-01,3.33
240017,2019-07-01,4.08
240017,2019-08-01,4.18
240017,2019-09-01,4.43
240017,2019-10-01,4.82
240017,2019-11-01,4.68
240017,2019-12-01,3.08
240017,2020-01-01,3.48
240018,2019-02-01,3.02
240018,2019-03-01,2.78
240018,2019-04-01,2.78
240018,2019-05-01,3.83
240018,2019-06-01,4.34
240018,2019-07-01,3.4
240018,2019-08-01,3.4
240018,2019-09-01,3.4
240018,2019-10-01,3.33
240018,2019-11-01,2.91
240018,2019-12-01,3.58
240018,2020-01-01,4.08
240019,2019-02-01,5.0
240019,2019-03-01,4.88
240019,2019-04-01,4.88
240019,2019-05-01,5.92
240019,2019-06-01,5.78
240019,2019-07-01,5.24
240019,2019-08-01,4.88
240019,2019-09-01,4.88
240019,2019-10-01,4.88
240019,2019-11-01,5.43
240019,2019-12-01,4.86
240019,2020-01-01,4.88
240020,2019-02-01,4.44
240020,2019-03-01,4.44
240020,2019-04-01,4.44
240020,2019-05-01,5.12
240020,2019-06-01,4.44
240020,2019-07-01,4.44
240020,2019-08-01,4.44
240020,2019-09-01,4.44
240020,2019-10-01,4.44
240020,2019-11-01,4.44
240020,2019-12-01,4.44
240020,2020-01-01,3.94
240021,2019-02-01,5.36
240021,2019-03-01,4.32
240021,2019-04-01,4.4
240021,2019-05-01,4.2
240021,2019-06-01,4.58
240021,2019-07-01,3.82
240021,2019-08-01,5.66
240021,2019-09-01,4.88
240021,2019-10-01,5.66
240021,2019-11-01,5.25
240021,2019-12-01,5.5
240021,2020-01-01,4.19
240022,2019-02-01,2.95
240022,2019-03-01,3.87
240022,2019-04-01,3.87
240022,2019-05-01,3.58
240022,2019-06-01,4.08
240022,2019-07-01,4.08
240022,2019-08-01,5.36
240022,2019-09-01,3.57
240022,2019-10-01,4.07
240022,2019-11-01,2.95
240022,2019-12-01,3.4
240022,2020-01-01,3.9
240023,2019-02-01,6.12
240023,2019-03-01,5.73
240023,2019-04-01,6.12
240023,2019-05-01,6.68
240023,2019-06-01,4.82
240023,2019-07-01,6.68
240023,2019-08-01,6.12
240023,2019-09-01,4.82
240023,2019-10-01,5.37
240023,2019-11-01,5.37
240023,2019-12-01,4.82
240023,2020-01-01,5.37
240024,2019-02-01,5.12
240024,2019-03-01,4.39
240024,2019-04-01,2.92
240024,2019-05-01,2.78
240024,2019-06-01,4.74
240024,2019-07-01,3.87
240024,2019-08-01,1.98
240024,2019-09-01,1.85
240024,2019-10-01,3.82
240024,2019-11-01,3.28
240024,2019-12-01,2.78
240024,2020-01-01,4.2
240025,2019-02-01,3.28
240025,2019-03-01,3.28
240025,2019-04-01,3.83
240025,2019-05-01,3.83
240025,2019-06-01,4.2
240025,2019-07-01,3.16
240025,2019-08-01,4.63
240025,2019-09-01,4.2
240025,2019-10-01,3.69
240025,2019-11-01,4.75
240025,2019-12-01,3.7
240025,2020-01-01,3.83
240026,2019-02-01,3.77
240026,2019-03-01,5.21
240026,2019-04-01,6.12
240026,2019-05-01,5.07
240026,2019-06-01,6.17
240026,2019-07-01,5.99
240026,2019-08-01,5.72
240026,2019-09-01,6.12
240026,2019-10-01,5.49
240026,2019-11-01,4.86
240026,2019-12-01,4.85
240026,2020-01-01,5.62
240027,2019-02-01,4.74
240027,2019-03-01,4.2
240027,2019-04-01,3.82
240027,2019-05-01,3.9
240027,2019-06-01,3.82
240027,2019-07-01,5.37
240027,2019-08-01,4.32
240027,2019-09-01,5.37
240027,2019-10-01,4.74
240027,2019-11-01,3.28
240027,2019-12-01,5.0
240027,2020-01-01,4.74
240028,2019-02-01,4.18
240028,2019-03-01,4.2
240028,2019-04-01,3.28
240028,2019-05-01,3.9
240028,2019-06-01,4.32
240028,2019-07-01,3.28
240028,2019-08-01,3.9
240028,2019-09-01,3.83
240028,2019-10-01,4.2
240028,2019-11-01,4.82
240028,2019-12-01,4.2
240028,2020-01-01,3.7
240029,2019-02-01,4.45
240029,2019-03-01,5.88
240029,2019-04-01,6.0
240029,2019-05-01,6.5
240029,2019-06-01,5.88
240029,2019-07-01,6.5
240029,2019-08-01,6.29
240029,2019-09-01,5.38
240029,2019-10-01,6.29
240029,2019-11-01,4.26
240029,2019-12-01,5.38
240029,2020-01-01,5.38
240030,2019-02-01,4.82
240030,2019-03-01,4.82
240030,2019-04-01,5.36
240030,2019-05-01,5.36
240030,2019-06-01,5.36
240030,2019-07-01,4.82
240030,2019-08-01,5.36
240030,2019-09-01,5.36
240030,2019-10-01,5.36
240030,2019-11-01,5.36
240030,2019-12-01,5.36
240030,2020-01-01,4.82
240031,2019-02-01,3.03
240031,2019-03-01,3.4
240031,2019-04-01,3.4
240031,2019-05-01,3.03
240031,2019-06-01,3.4
240031,2019-07-01,3.95
240031,2019-08-01,3.95
240031,2019-09-01,3.4
240031,2019-10-01,3.9
240031,2019-11-01,3.4
240031,2019-12-01,2.41
240031,2020-01-01,2.84
240032,2019-02-01,5.01
240032,2019-03-01,5.01
240032,2019-04-01,4.61
240032,2019-05-01,5.57
240032,2019-06-01,6.12
240032,2019-07-01,4.82
240032,2019-08-01,4.82
240032,2019-09-01,5.23
240032,2019-10-01,5.18
240032,2019-11-01,5.6
240032,2019-12-01,5.49
240032,2020-01-01,6.41
240033,2019-02-01,3.28
240033,2019-03-01,3.82
240033,2019-04-01,3.82
240033,2019-05-01,3.28
240033,2019-06-01,4.02
240033,2019-07-01,3.28
240033,2019-08-01,3.28
240033,2019-09-01,3.28
240033,2019-10-01,3.28
240033,2019-11-01,3.28
240033,2019-12-01,3.28
240033,2020-01-01,3.28
240034,2019-02-01,3.88
240034,2019-03-01,4.46
240034,2019-04-01,3.9
240034,2019-05-01,4.3
240034,2019-06-01,4.82
240034,2019-07-01,5.24
240034,2019-08-01,4.82
240034,2019-09-01,4.45
240034,2019-10-01,4.98
240034,2019-11-01,5.36
240034,2019-12-01,4.99
240034,2020-01-01,4.95
240035,2019-02-01,5.75
240035,2019-03-01,4.39
240035,2019-04-01,3.34
240035,2019-05-01,3.34
240035,2019-06-01,4.27
240035,2019-07-01,4.27
240035,2019-08-01,4.57
240035,2019-09-01,4.2
240035,2019-10-01,4.46
240035,2019-11-01,6.11
240035,2019-12-01,5.19
240035,2020-01-01,5.75
240036,2019-02-01,5.16
240036,2019-03-01,4.32
240036,2019-04-01,4.52
240036,2019-05-01,4.49
240036,2019-06-01,4.05
240036,2019-07-01,4.62
240036,2019-08-01,4.62
240036,2019-09-01,3.33
240036,2019-10-01,3.73
240036,2019-11-01,3.56
240036,2019-12-01,4.68
240036,2020-01-01,4.31
240037,2019-02-01,2.66
240037,2019-03-01,3.89
240037,2019-04-01,2.78
240037,2019-05-01,5.27
240037,2019-06-01,3.52
240037,2019-07-01,2.66
240037,2019-08-01,4.52
240037,2019-09-01,4.52
240037,2019-10-01,4.45
240037,2019-11-01,3.52
240037,2019-12-01,2.78
240037,2020-01-01,4.45
240038,2019-02-01,2.78
240038,2019-03-01,3.7
240038,2019-04-01,2.22
240038,2019-05-01,2.78
240038,2019-06-01,2.78
240038,2019-07-01,3.14
240038,2019-08-01,3.14
240038,2019-09-01,3.89
240038,2019-10-01,3.33
240038,2019-11-01,3.28
240038,2019-12-01,3.7
240038,2020-01-01,4.26
240039,2019-02-01,7.96
240039,2019-03-01,7.59
240039,2019-04-01,6.67
240039,2019-05-01,7.03
240039,2019-06-01,7.03
240039,2019-07-01,6.82
240039,2019-08-01,7.03
240039,2019-09-01,7.03
240039,2019-10-01,7.03
240039,2019-11-01,7.03
240039,2019-12-01,7.03
240039,2020-01-01,6.28
240040,2019-02-01,4.09
240040,2019-03-01,4.2
240040,2019-04-01,2.77
240040,2019-05-01,2.91
240040,2019-06-01,2.77
240040,2019-07-01,3.71
240040,2019-08-01,3.64
240040,2019-09-01,5.38
240040,2019-10-01,5.63
240040,2019-11-01,4.2
240040,2019-12-01,4.45
240040,2020-01-01,5.12
240041,2019-02-01,4.58
240041,2019-03-01,4.22
240041,2019-04-01,3.9
240041,2019-05-01,3.9
240041,2019-06-01,3.9
240041,2019-07-01,4.44
240041,2019-08-01,4.04
240041,2019-09-01,5.37
240041,2019-10-01,4.22
240041,2019-11-01,4.44
240041,2019-12-01,4.95
240041,2020-01-01,4.58
240042,2019-02-01,4.69
240042,2019-03-01,4.57
240042,2019-04-01,4.18
240042,2019-05-01,4.02
240042,2019-06-01,3.17
240042,2019-07-01,4.23
240042,2019-08-01,3.88
240042,2019-09-01,4.43
240042,2019-10-01,5.49
240042,2019-11-01,4.22
240042,2019-12-01,3.0
240042,2020-01-01,2.57
240043,2019-02-01,3.94
240043,2019-03-01,4.46
240043,2019-04-01,5.23
240043,2019-05-01,6.54
240043,2019-06-01,3.58
240043,2019-07-01,3.76
240043,2019-08-01,4.04
240043,2019-09-01,4.04
240043,2019-10-01,3.34
240043,2019-11-01,4.15
240043,2019-12-01,2.78
240043,2020-01-01,3.9
240044,2019-02-01,4.82
240044,2019-03-01,2.78
240044,2019-04-01,5.58
240044,2019-05-01,4.2
240044,2019-06-01,4.81
240044,2019-07-01,4.82
240044,2019-08-01,4.95
240044,2019-09-01,4.95
240044,2019-10-01,4.95
240044,2019-11-01,5.58
240044,2019-12-01,4.95
240044,2020-01-01,5.58
240045,2019-02-01,6.63
240045,2019-03-01,4.71
240045,2019-04-01,5.07
240045,2019-05-01,5.07
240045,2019-06-01,5.07
240045,2019-07-01,5.07
240045,2019-08-01,4.65
240045,2019-09-01,5.07
240045,2019-10-01,4.65
240045,2019-11-01,4.65
240045,2019-12-01,4.15
240045,2020-01-01,2.78
240046,2019-02-01,3.02
240046,2019-03-01,2.52
240046,2019-04-01,2.78
