date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,360033,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.4
2019-03-01,360033,3.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,3.9
2019-04-01,360033,3.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.96
2019-05-01,360033,4.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,4.02
2019-06-01,360033,3.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.96
2019-07-01,360033,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.03
2019-08-01,360033,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.4
2019-09-01,360033,2.0,2.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,4.13
2019-10-01,360033,3.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.96
2019-11-01,360033,3.0,3.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,4.5
2019-12-01,360033,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.03
2020-01-01,360033,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.18
